"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NSD1",0.293677847518614,1.34817597023138,1.03774080678962,0.321290390932094,0.487907767198584,-5.87811016876241
"CDC42SE1",-0.277970324576453,1.13014360301829,-1.03677051642524,0.321723057129182,0.488499247372073,-5.82522153361888
"TKFC",0.247235577762773,0.537951817552807,1.03609157601519,0.322026063634845,0.488893721994938,-5.67756282709052
"RAB5B",0.118297926914257,5.43183594910385,1.03577923240775,0.322165531649459,0.488953831499981,-6.53960383440403
"METTL25",0.226618819777455,1.4010780510579,1.03556152208464,0.322262770436095,0.488953831499981,-5.89316308211799
"CHCHD5",-0.184399917778348,1.58702507296916,-1.03549513521528,0.322292426001387,0.488953831499981,-5.93519499218444
"ARL6",0.122256028428691,4.23849808566555,1.03549055958255,0.322294470049144,0.488953831499981,-6.42823078295094
"ZNF57",0.214974308161509,1.24921070701092,1.03538598622286,0.322341188167135,0.488953831499981,-5.85828279578471
"DANT2",0.366930444680946,-0.215394001077856,1.03536441628063,0.322350825158166,0.488953831499981,-5.48796654989797
"PDK3",-0.15215766569243,5.27542340191304,-1.03532564702958,0.322368146972148,0.488953831499981,-6.52813303127112
"HYLS1",0.219547975840097,0.713980745061385,1.03521080170463,0.322419463068565,0.488966120442409,-5.72410882035754
"RANBP2",-0.161166275999918,6.57272020906792,-1.03420628655253,0.32286856704234,0.489581591541689,-6.61323487663318
"KLHL7-AS1",0.343518323293442,0.615360871614637,1.03383771731621,0.323033465325648,0.489766000289388,-5.69814944541826
"SNW1",-0.0897001958571693,7.0918491143753,-1.03373077206706,0.323081324445192,0.489772934900502,-6.63994398930609
"PI4K2A",-0.150059561426921,2.7448301296151,-1.0333752437938,0.323240464893982,0.489948541229124,-6.18266016469775
"ZNF549",0.159033082996416,3.09201588697425,1.03318719731243,0.323324661182993,0.490010519861448,-6.25169023159206
"GNRHR",0.388260710449759,-0.193750628400731,1.03288643389346,0.323459359389228,0.490086747619915,-5.49627301047794
"C1orf122",0.182830662651609,1.30855969846879,1.03288146577869,0.323461584730493,0.490086747619915,-5.87505395996314
"ZNF674-AS1",-0.175964642126809,3.56662365546149,-1.03266277340804,0.323559553695994,0.490169547472242,-6.33490395426667
"SCAMP5",0.16909561148242,1.90501075698203,1.03237353607304,0.323689158924139,0.490300245411866,-6.00825742235582
"CHRM3",-0.245666473307715,0.831310707928941,-1.03216272565467,0.323783645854228,0.490377720899557,-5.75512478301235
"SENP2",0.097111440515059,4.50350600316706,1.03184477071201,0.323926194510533,0.490527956489117,-6.46207418264589
"ZNF876P",0.222080912886126,1.82395104326952,1.03171103661518,0.323986165383677,0.490553119405366,-5.9910117876225
"LXN",-0.168981630391164,1.9036491528159,-1.03144260198772,0.324106565355262,0.490669760100989,-6.00847042149217
"CCDC175",0.288098951498052,0.720986354926009,1.03099495461231,0.324307420718261,0.490908155909983,-5.72908847894088
"ZNF639",-0.172527391286216,2.40931052911107,-1.03073545486235,0.324423898164474,0.491018781130421,-6.11640214987172
"TMBIM6",0.0835139072764388,10.8892811773207,1.03051131233338,0.324524530340308,0.491105397993927,-6.77285390837424
"SCFD1",-0.0922563977968389,7.11108533058414,-1.03029387779039,0.324622172965811,0.491187468187771,-6.64436931899682
"AVIL",-0.340451264903144,0.28458628987477,-1.03011073841149,0.324704431660752,0.491246242043242,-5.61501767554814
"MAP2K2",0.295552602992409,-0.193765768367898,1.02966663223858,0.324903970061481,0.491482409257441,-5.4993826709616
"DTNBP1",0.208904517710904,1.36553940587134,1.02927207823214,0.32508132068949,0.491572756122053,-5.89158857498936
"GSTZ1",0.22023064721054,0.902627529476362,1.02918539505854,0.325120294073695,0.491572756122053,-5.77879264850859
"SLC2A1",-0.190758265381305,5.87789852470189,-1.02917615131201,0.32512445033342,0.491572756122053,-6.57720350984679
"XIAP",0.112536197104951,5.18223248129146,1.02914718879844,0.325137472984308,0.491572756122053,-6.52716126994425
"ATP5G1",-0.125988381023792,5.95930419594297,-1.0289352473902,0.325232781682607,0.491651158949725,-6.58279643828003
"FNIP1",0.15627679164797,5.24472030558525,1.02873929558185,0.325320918364712,0.491718700413667,-6.53241173033395
"SLC38A6",-0.0914680606963136,5.73367211458251,-1.02863498326634,0.325367843957218,0.491723942083067,-6.56828600544494
"MAP3K1",-0.13462204410139,4.57940576120715,-1.02846978492909,0.325442169786584,0.491770586422969,-6.47326812355138
"VPS26B",-0.162782886055552,2.28184624993045,-1.02810180556632,0.325607775785164,0.491817426759453,-6.09217194215882
"NAA16",0.136327248315817,3.5296172123628,1.0280733786013,0.325620571695469,0.491817426759453,-6.33428491939051
"C1orf174",0.112276134571078,3.80546307121108,1.02795970909145,0.325671741794024,0.491817426759453,-6.37771317245772
"NUBP1",-0.240629305071514,0.841532332086802,-1.02792248530951,0.325688499952312,0.491817426759453,-5.76128760807808
"FAM214A",0.112254629090176,5.45374101879916,1.02791804848323,0.325690497455465,0.491817426759453,-6.54921844130999
"RBM48",0.0904978768304447,5.24323384680357,1.02750938169606,0.325874522176589,0.492029652846024,-6.53367262477418
"COG3",0.102112350122487,5.14763064870615,1.02738278539757,0.325931544738195,0.492050090555394,-6.52615770293006
"SAAL1",-0.207494660907348,1.03713002810672,-1.02720454196376,0.326011843149767,0.492105657049041,-5.81275497759351
"UBE2M",-0.32680054575088,-0.00151894339687594,-1.027077574091,0.326069050921285,0.492126358700059,-5.54672030295161
"OR7E12P",-0.228857316001803,0.878800379082161,-1.02631367308076,0.326413397716794,0.49258036745339,-5.77269545674023
"C8orf33",-0.107862719125989,4.45669604883602,-1.02587304329189,0.326612144499017,0.492814563942709,-6.46290632884743
"SPCS2",-0.0886898888577905,5.4477212752084,-1.02521935758325,0.326907155332499,0.493152222288166,-6.55148076246737
"CCDC181",0.108544505807344,6.16069768252515,1.02518405095733,0.326923094952146,0.493152222288166,-6.59914204527096
"CACNA1C",0.193510109278205,1.50055057758581,1.02489608449345,0.32705312248248,0.493217131268062,-5.92699055478617
"METTL22",0.219435986716927,1.07994972984477,1.02489568232952,0.327053304101128,0.493217131268062,-5.82738163206777
"DIDO1",0.161441208496805,2.35645823886831,1.02477862214508,0.327106172061338,0.493231121651658,-6.11193865835324
