"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"HBEGF",-2.28364432693137,2.2214119299615,-5.19639794078893,0.00027988525232232,0.00357927404817011,0.650130036503163
"EHF",-5.03100067775992,-2.46766013356848,-5.16684740113326,0.000293180712447642,0.00369782238732816,-0.531755787739023
"DAPP1",-2.46816326863394,-0.974151055408935,-5.14227514476364,0.000304744713325005,0.00377676498496433,0.350273440075301
"LINC01239",-2.21523927114096,0.00290987324071676,-5.12339320575271,0.000313958000104265,0.00386100345847901,0.54974875142119
"SERTAD4",-3.27572130143091,-1.76015123833976,-5.11849625283233,0.000316395187240421,0.00387372922181477,-0.0661035543956539
"NPPB",-2.93269056784435,-1.07153275310989,-5.11513414613381,0.00031808005956473,0.00388249824592763,0.243244183881587
"NES",-2.17631527319364,1.01910399194289,-5.1067263403722,0.000322335148140717,0.00391951585562518,0.586042135608765
"LOC101928851",-2.23247569536315,-0.925083802480242,-5.10426593380378,0.000323591674247457,0.00392437276967843,0.328760982399524
"GPR176",-2.02778677056071,-0.31165570516901,-4.94134793306207,0.000419475336951671,0.00470044665259895,0.264126039124015
"EDN2",-3.12132603894875,-1.31817419807803,-4.89129417280356,0.000454631932728618,0.00500404700274738,-0.111063091150194
"AKR1C8P",2.79571594389869,-1.81185991750561,4.879908446289,0.00046305446504981,0.00508192169935849,-0.273518679553519
"NT5E",-2.14581118953249,1.02953408848531,-4.83229612353588,0.000500097611084136,0.00538914711373047,0.172316548675913
"C8orf22",2.09253395020051,0.619821080061827,4.82290757141647,0.00050776353889672,0.00544066708581097,0.163862723518507
"INHBA",-5.72731982285883,-3.05305148798273,-4.75206082912153,0.000569754522016085,0.00587137742860838,-0.908417143540762
"SRPX2",-3.03907724163369,-0.319555981865885,-4.49525038537679,0.000870022159908992,0.00780735746076452,-0.394664059930101
"ITGB3",-2.87333491620855,-1.34255641699001,-4.49227513869766,0.000874345022310057,0.00782690975272017,-0.587745837819893
"SERPIND1",2.27278638133067,-0.673077158265592,4.43433864667162,0.00096316380361801,0.00845476992857858,-0.489466070341007
"C2CD4A",-4.01287377820918,-1.66369052096878,-4.39314280911746,0.00103203224237979,0.0088667007004763,-0.905495652662949
"KCNA1",2.00685837546876,1.33856759826562,4.37610300641582,0.00106200704203967,0.00908284934291674,-0.571933832656867
"ITGB6",-5.35592195920744,-0.819116442249396,-4.37338394048,0.00106687378329402,0.00911758070843791,-0.846276197476442
"ALPK2",-6.58306482481288,-2.37887617863935,-4.34944601279205,0.00111073912242431,0.00934727780766541,-1.24408256234985
"LINC01555",-3.69094410811699,-2.50372097840714,-4.33683954269282,0.00113459406885624,0.00945355809212691,-1.22941069998207
"AQP7P3",-2.629841334683,-1.58061402120308,-4.33100384952193,0.00114581755677919,0.00951397560785791,-0.828471362490751
"AMTN",-5.85352379147196,-1.71895093149564,-4.31865973474746,0.00116994233007801,0.00962638050442812,-1.23862918202714
"DOCK2",-4.99589968306971,-2.2796674348106,-4.30868731064264,0.00118981933491396,0.00974203662638905,-1.29975610452666
"CAV1",-2.41233032707117,1.64888076563053,-4.30579588780551,0.00119564824627382,0.00977511553944235,-0.707254891301615
"UOX",-2.24126855457955,-1.43640740462342,-4.264585906641,0.00128204462266178,0.0102518267882813,-0.857203607703625
"CCL7",-5.26090988574686,-0.279337827650935,-4.19007730640676,0.00145519319627778,0.0110876140272036,-0.939027665179082
"MYPN",-2.11603229999424,-1.5081809514536,-4.17371850152288,0.00149637359533944,0.0112873401540752,-0.989759843436251
"ALOX5AP",-3.86673200857698,-2.3471677089598,-4.08219309469793,0.00175027555372581,0.0125264819041161,-1.45559275323508
"FGF5",-6.34757676016879,-2.746008756544,-4.03018824738874,0.00191414351535033,0.0133447528503937,-1.58737437525206
"FAM150A",-2.2606178183249,-1.56587689164261,-3.9804864587844,0.00208568314894467,0.0141627580076983,-1.25952339136911
"LIF",-2.4285791055999,-0.345224240122264,-3.79599129564222,0.00287506371698249,0.0176896932885573,-1.40763426766745
"SLA",2.16996977945537,-0.46975955791824,3.76100442320332,0.00305673504102371,0.018485813462952,-1.46167364691946
"TNFRSF9",-4.50154592469311,-1.81366109330237,-3.66067811174366,0.0036463020267983,0.0209537366344453,-1.85512024497014
"FGF1",-3.63938020251889,1.16535785998047,-3.6067962375912,0.00401011905339004,0.0225295417522881,-1.75859079894747
"EMB",-3.32666930959485,-1.35610355032612,-3.47301746123106,0.00508363138723824,0.0264969248112857,-1.95969499613386
"IL11",-2.51216779921987,-1.52565015059669,-3.34294058238888,0.00641066984204604,0.0308123024857509,-2.13539808067561
"TGM2",-2.60500847976975,-2.20017796927598,-3.17116804633399,0.00872171482852547,0.0388375455666138,-2.43899534223522
"PTGES",-3.05654610834744,-1.76746948715433,-3.10226323575178,0.00987186115365564,0.0424070269375906,-2.50293397967035
"HAS2",-2.81532410266638,-1.77453025142635,-2.77484568488098,0.0178068017703462,0.0638617946217013,-2.95031845297937
"POSTN",-2.79905094529784,-2.20285551231461,-2.76461129060147,0.018138139346861,0.0647422860283068,-2.97884950987191
"MMP7",-4.87411122370728,-0.428396070671467,-2.72539149060991,0.0194655392755576,0.0684014213984267,-3.02240304153464
"SLC34A2",-2.0237735897606,-2.03774763845434,-2.68577204931738,0.0209041949245036,0.0719376415969459,-3.07402571746179
"C3AR1",-2.41280529302557,-2.16222590598994,-2.58412184504061,0.0250934213069057,0.0818483891864047,-3.21581898047369
"IFNE",-3.58292005784563,-4.72265875189895,-2.21140700902713,0.048696472304906,0.131488605305013,-3.72603367240151
"C4orf26",-2.03356571313034,-1.82077253000915,-2.01779394250564,0.0682346673645821,0.166754916032451,-3.99138064247151
"RPS9",2.1084927992121,-2.95888710637874,1.9728514564433,0.0737207436628066,0.176577098760512,-3.98489746989293
