	SRR12626034	SRR12626035	SRR12626036	SRR12626040	SRR12626041	SRR12626042
CDC37	47	59	32	90	48	49
CDC37L1	645	559	567	694	338	586
CDC37L1-AS1	28	45	33	41	27	27
CDC40	1828	1621	1825	2269	1329	1682
CDC42	3500	3504	2877	5860	3940	4646
CDC42BPA	1318	1181	818	1579	598	979
CDC42BPB	118	100	76	137	69	105
CDC42EP3	670	516	462	1436	846	797
CDC42EP4	48	42	41	82	59	46
CDC42SE1	80	82	90	160	105	69
CDC42SE2	1809	1503	1431	1900	921	1323
CDC45	51	23	29	132	44	48
CDC5L	4331	4002	4102	6841	3783	4880
CDC6	34	43	24	172	85	100
CDC7	606	475	485	1093	754	893
CDC73	1687	1535	1496	2161	1018	1670
CDCA2	21	52	6	107	27	68
CDCA7	339	326	329	139	97	168
CDCA7L	80	100	69	112	54	102
CDCA8	61	87	53	56	39	65
CDCP1	370	455	323	4424	2127	1916
CDH1	52	34	53	56	32	26
CDH10	273	260	277	655	272	345
CDH11	879	755	813	1429	725	1086
CDH12	1035	839	769	663	498	887
CDH13	311	459	299	889	447	409
CDH18	137	192	149	798	313	355
CDH2	6052	5046	4433	12374	6467	7250
CDH23	83	126	109	53	36	61
CDH3	126	129	98	76	40	66
CDH6	3518	3207	2231	11844	5907	6449
CDH7	28	25	20	28	38	29
CDHR1	211	217	221	35	43	45
CDHR3	420	331	305	173	175	217
CDIPT	69	66	50	73	68	62
CDK1	2256	1796	1750	2442	1615	2514
CDK11A	114	112	73	130	77	98
CDK11B	62	78	36	77	40	30
CDK12	373	337	362	538	310	354
CDK13	867	848	716	1027	592	851
CDK14	2017	1489	1441	2037	1040	1541
CDK16	94	125	79	136	98	90
CDK17	543	585	551	951	509	580
CDK19	800	719	728	1209	652	923
CDK2	51	68	67	152	69	90
CDK20	332	353	273	311	225	272
CDK2AP1	404	399	338	802	480	458
CDK4	194	193	138	287	205	165
CDK5	68	57	29	73	48	72
CDK5R1	98	119	83	192	96	96
CDK5RAP1	1022	1059	934	1278	846	1158
CDK5RAP2	1839	1337	1067	1274	824	1199
CDK5RAP3	710	942	694	1105	538	911
CDK6	505	511	467	836	392	418
CDK7	29	11	85	284	83	24
CDK8	135	113	116	185	75	127
CDK9	92	60	57	88	52	60
CDKAL1	815	770	695	1042	615	889
CDKL1	219	180	202	256	146	217
CDKL2	1956	1759	1665	1430	764	1316
CDKL3	386	433	340	456	233	364
CDKL5	40	57	61	67	62	35
CDKN1A	460	550	394	838	541	774
CDKN1B	76	84	57	113	68	42
CDKN2AIP	189	194	155	221	92	154
CDKN2AIPNL	92	79	51	131	64	76
